id log2FoldChange
ENSG00000184330 -Inf
ENSG00000132182 -Inf
ENSG00000205403 -Inf
ENSG00000159763 -Inf
ENSG00000179776 -Inf
ENSG00000092969 -10.9143346093726
ENSG00000137673 -9.15882599212437
ENSG00000176907 -9.09872813110586
ENSG00000076716 -8.97875065994094
ENSG00000122870 -8.93860630469391
ENSG00000144476 -8.70947378846851
ENSG00000109819 -8.60379783124718
ENSG00000144810 -8.5841549582761
ENSG00000184012 -8.2269281999657
ENSG00000164692 -7.91231500687498
ENSG00000082175 -7.90233091830236
ENSG00000232480 -7.69433787602652
ENSG00000079215 -7.68388492110626
ENSG00000107518 -7.65523805633758
ENSG00000158528 -7.56670138173593
ENSG00000162511 -7.27027141094655
ENSG00000164684 -7.05165987744908
ENSG00000100234 -7.01260688613768
ENSG00000148346 -7.00298902564302
ENSG00000248713 -6.90500010507834
ENSG00000111859 -6.78130359024935
ENSG00000102837 -6.62388146008187
ENSG00000163739 -6.60881515540746
ENSG00000143556 -6.5797955007199
ENSG00000162896 -6.5137656303847
ENSG00000106078 -6.44359487609283
ENSG00000148848 -6.37337382730994
ENSG00000019186 -6.36661193660105
ENSG00000137501 -6.03821434638413
ENSG00000106066 -5.99491292548786
ENSG00000153956 -5.91032370905589
ENSG00000166920 -5.80350436004755
ENSG00000143195 -5.72134302162619
ENSG00000168497 -5.61853795230176
ENSG00000125848 -5.52188334818739
ENSG00000205189 -5.44893961112144
ENSG00000101335 -5.44308481950597
ENSG00000170153 -5.32336715820264
ENSG00000079931 -5.2918799957544
ENSG00000173391 -5.28260299942052
ENSG00000111110 -5.26984004749861
ENSG00000142619 -5.24972970070584
ENSG00000073849 -5.24336783613742
ENSG00000090376 -5.19729196558945
ENSG00000167767 -5.19597586883269
ENSG00000157657 -5.15025843174594
ENSG00000105894 -5.10435192425922
ENSG00000146592 -5.10163972652576
ENSG00000135480 -5.07602908284672
ENSG00000177614 -5.06305122884851
ENSG00000134339 -5.05846485219561
ENSG00000138061 -4.95575218619216
ENSG00000135678 -4.81672220279352
ENSG00000134986 -4.8081155766847
ENSG00000115232 -4.78303198993001
ENSG00000182957 -4.74487526882226
ENSG00000104327 -4.70309035003549
ENSG00000198771 -4.6917639323627
ENSG00000162366 -4.66713351796559
ENSG00000158966 -4.63682825687781
ENSG00000117115 -4.58745758094894
ENSG00000104368 -4.57380892121924
ENSG00000123143 -4.49578669774106
ENSG00000132321 -4.44080235882948
ENSG00000101443 -4.42849728328293
ENSG00000106546 -4.4186727307032
ENSG00000206073 -4.41464625896938
ENSG00000165795 -4.40904351011845
ENSG00000173432 -4.34039938623654
ENSG00000154310 -4.29453770920031
ENSG00000118515 -4.28855158283661
ENSG00000164099 -4.24617736972425
ENSG00000150556 -4.22680120775217
ENSG00000156103 -4.1994207069164
ENSG00000133687 -4.12693776070425
ENSG00000125730 -4.04565006911093
ENSG00000134668 -3.9675533649426
ENSG00000173918 -3.90804456949675
ENSG00000153291 -3.90019200754602
ENSG00000111885 -3.89957399974719
ENSG00000103196 -3.83860532069197
ENSG00000057149 -3.8154876583546
ENSG00000071073 -3.81213310933078
ENSG00000115009 -3.78390449980897
ENSG00000149591 -3.74818230761333
ENSG00000223829 -3.71273593671991
ENSG00000120875 -3.69820249280132
ENSG00000173281 -3.68019171241911
ENSG00000060982 -3.67618469064645
ENSG00000130635 -3.65735265748493
ENSG00000164949 -3.64359664990219
ENSG00000206199 -3.63890065705631
ENSG00000198478 -3.58161670235988
ENSG00000104267 -3.57198165572661
ENSG00000106070 -3.55895440415096
ENSG00000107249 -3.54599279262916
ENSG00000118523 -3.53504999378213
ENSG00000149596 -3.51961485560455
ENSG00000163430 -3.50401462566175
ENSG00000100979 -3.49698948795145
ENSG00000095637 -3.43237730354405
ENSG00000134258 -3.41560025458527
ENSG00000169429 -3.41265902091483
ENSG00000115414 -3.3864701408329
ENSG00000224689 -3.36059516510892
ENSG00000099260 -3.36008929256582
ENSG00000197249 -3.3498482909766
ENSG00000176641 -3.31809030653341
ENSG00000145819 -3.29944650958394
ENSG00000131018 -3.29743337952815
ENSG00000138131 -3.2877647045363
ENSG00000123700 -3.27672643308385
ENSG00000196839 -3.21845809949777
ENSG00000165434 -3.20097522038427
ENSG00000253522 -3.18674506624619
ENSG00000100628 -3.18270074092522
ENSG00000078401 -3.17724419367213
ENSG00000119411 -3.11706976709537
ENSG00000128602 -3.10515169442245
ENSG00000163220 -3.09817866613573
ENSG00000151388 -3.06995197256228
ENSG00000172915 -3.06990681566787
ENSG00000184371 -3.05702812091667
ENSG00000135821 -2.97991592929362
ENSG00000124766 -2.92024681107266
ENSG00000074527 -2.91831542573668
ENSG00000183742 -2.90099727642599
ENSG00000184254 -2.89867557937814
ENSG00000165799 -2.8907396483255
ENSG00000112299 -2.8781475503088
ENSG00000255026 -2.83714674954222
ENSG00000008277 -2.82658835591675
ENSG00000261115 -2.81184038435445
ENSG00000110042 -2.80279524475144
ENSG00000124225 -2.79021036838291
ENSG00000121039 -2.78804061583286
ENSG00000113140 -2.76777728901438
ENSG00000166016 -2.76255288032245
ENSG00000181458 -2.75702367248248
ENSG00000039139 -2.73416508674133
ENSG00000152661 -2.72995026513373
ENSG00000155130 -2.72266115592031
ENSG00000106829 -2.66693825740585
ENSG00000176485 -2.65880282682004
