id log2FoldChange
ENSG00000092964 6.82463874466051
ENSG00000131171 5.81437040920668
ENSG00000187678 5.44953975846072
ENSG00000026025 5.05533431627989
ENSG00000142227 4.98508889955389
ENSG00000120913 4.9812761663502
ENSG00000238266 4.88260377897697
ENSG00000029534 4.74933724811351
ENSG00000166033 4.41732176716079
ENSG00000186847 4.40558479563162
ENSG00000137440 4.38242332080687
ENSG00000128849 4.15656435255961
ENSG00000183287 3.99892180510274
ENSG00000157168 3.99127688608652
ENSG00000144063 3.98054327578789
ENSG00000162105 3.91203777193898
ENSG00000182809 3.90941689579313
ENSG00000081277 3.8202532650687
ENSG00000185567 3.77001593829626
ENSG00000134321 3.74424562611128
ENSG00000100097 3.49993789269219
ENSG00000169926 3.48621932102916
ENSG00000180353 3.47454116909174
ENSG00000095303 3.42460982367826
ENSG00000198626 3.37474452260914
ENSG00000180190 3.3325182399334
ENSG00000166165 3.33133618739624
ENSG00000171282 3.26904418012173
ENSG00000272327 3.2543755725964
ENSG00000255248 3.22704645288655
ENSG00000075223 3.18912390921317
ENSG00000188211 3.14693565136183
ENSG00000168685 3.05830403496954
ENSG00000178209 3.03580957264376
ENSG00000185070 2.99022919159736
ENSG00000233532 2.98045827887851
ENSG00000108602 2.97994926855731
ENSG00000225383 2.933477827269
ENSG00000250303 2.92829304746976
ENSG00000140022 2.92089398556563
ENSG00000189410 2.85090131203503
ENSG00000179222 2.83985258653302
ENSG00000187244 2.83562089377898
ENSG00000149527 2.79833678247849
ENSG00000177494 2.76724031295218
ENSG00000237187 2.76409703159993
ENSG00000105329 2.76188745382761
ENSG00000154227 2.7432168034879
ENSG00000218586 2.67978241667773
ENSG00000172818 2.67512103930786
ENSG00000008118 2.67367556884299
ENSG00000184838 2.63626005170073
ENSG00000166396 2.60960446284176
ENSG00000272695 2.60238382834514
ENSG00000197461 2.59225106046748
ENSG00000186832 2.56153817874407
ENSG00000148053 2.54622410807216
ENSG00000175793 2.53511147423835
ENSG00000251194 2.5308833906234
ENSG00000105963 2.53030364577296
ENSG00000108578 2.52544888430008
ENSG00000120162 2.51248622677323
ENSG00000182261 2.50952200636282
ENSG00000160207 2.50908987916786
ENSG00000158246 2.5068075613452
ENSG00000134363 2.50561680217406
ENSG00000135318 2.4965871247343
ENSG00000150782 2.49384913553357
ENSG00000160712 2.46415215145115
ENSG00000183688 2.46406234783825
ENSG00000110328 2.45828979180527
ENSG00000229563 2.41693668406083
ENSG00000108797 2.41104563726847
ENSG00000251169 2.38756953260358
ENSG00000169174 2.35601001308134
ENSG00000091592 2.35323845961251
ENSG00000138685 2.34706245598867
ENSG00000134326 2.3248210029466
ENSG00000018236 2.31237266232163
ENSG00000101213 2.30958192905088
ENSG00000125089 2.30823199726597
ENSG00000006210 2.30139160827142
ENSG00000143515 2.29357055397593
ENSG00000175592 2.28344881407471
ENSG00000022267 2.28306075850303
ENSG00000154263 2.2659840517548
ENSG00000189334 2.26053109549744
ENSG00000131650 2.25211656036767
ENSG00000168453 2.25029737589503
ENSG00000163235 2.24629120560833
ENSG00000115363 2.24592162208998
ENSG00000114268 2.23730849178527
ENSG00000244405 2.22421138434288
ENSG00000125266 2.19744258810327
ENSG00000159166 2.19425874720379
ENSG00000189433 2.18922656382206
ENSG00000076356 2.18189286536666
ENSG00000150687 2.16882352074425
ENSG00000034239 2.15761038620132
ENSG00000110090 2.15682031656152
ENSG00000182795 2.14681467027796
ENSG00000092929 2.14645753241112
ENSG00000158055 2.1321759250042
ENSG00000131759 2.13164151782289
ENSG00000141480 2.11864307771985
ENSG00000158292 2.10007615431302
ENSG00000171552 2.07934557955018
ENSG00000150630 2.07583308044675
ENSG00000116701 2.07087381683008
ENSG00000169851 2.0688075179496
ENSG00000255443 2.06762588787902
ENSG00000272734 2.05529571178424
ENSG00000129270 2.05324186439516
ENSG00000169469 2.04920147029168
ENSG00000144857 2.04778925470574
ENSG00000146054 2.04456334598108
ENSG00000196562 2.04296944996648
ENSG00000261189 2.04239599593553
ENSG00000132481 2.04023045374636
ENSG00000188660 2.0332500478254
ENSG00000197747 2.01553673606634
ENSG00000164574 2.01308368573319
ENSG00000183023 2.00239804009363
